+-----+--------------------------------------------+----------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------+----------------------------+
|  ID | Registry name                              | Biome name                 | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                            | Valid for                  |
| 162 | minecraft:mutated_extreme_hills_with_trees | Extreme Hills+ M           |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                          | stronghold                 |
| 163 | minecraft:mutated_savanna                  | Savanna M                  |  1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE       | stronghold, village        |
| 164 | minecraft:mutated_savanna_rock             | Savanna Plateau M          |  1.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SAVANNA, SPARSE          | stronghold                 |
| 165 | minecraft:mutated_mesa                     | Mesa (Bryce)               |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                | stronghold                 |
| 166 | minecraft:mutated_mesa_rock                | Mesa Plateau F M           |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SPARSE                   | stronghold                 |
| 167 | minecraft:mutated_mesa_clear_rock          | Mesa Plateau M             |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                | stronghold                 |
| 168 | wildnature:maple_taiga                     | Maple Taiga                |  0.25 | MEDIUM   | 0.40 | false | false   | COOL       | COLD, CONIFEROUS, FOREST                        | spawn, stronghold          |
| 169 | wildnature:misty_swamp                     | Dense Swamp                |  0.50 | MEDIUM   | 0.90 | false | false   | WARM       | LUSH, SWAMP, WET                                | spawn, stronghold          |
| 170 | wildnature:taiga_plateau                   | Taiga Plateau              |  0.25 | MEDIUM   | 0.60 | false | false   | COOL       | CONIFEROUS, FOREST, PLAINS                      | spawn, stronghold          |
| 171 | wildnature:rocky_mountains                 | Rocky Mountains            |  0.25 | MEDIUM   | 0.80 | false | false   | ICY        | DEAD, HILLS, MOUNTAIN                           | spawn, stronghold          |
| 172 | wildnature:high_plains                     | High Plains                |  0.40 | MEDIUM   | 0.50 | false | false   | WARM       | MOUNTAIN, PLAINS                                | spawn, stronghold          |
| 173 | wildnature:flower_field                    | Flower Field               |  0.50 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS, RARE                                    | spawn, stronghold          |
| 174 | wildnature:purple_field                    | Purple Field               |  0.40 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS, RARE                                    | spawn, stronghold          |
| 175 | wildnature:field_of_corn                   | Field Of Corn              |  0.60 | MEDIUM   | 0.60 | false | false   | WARM       | DENSE, PLAINS, RARE                             | spawn, stronghold          |
| 176 | wildnature:masuria                         | Masuria                    |  0.50 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST, HOT, LUSH, RARE, WATER, WET             | spawn, stronghold          |
| 177 | wildnature:madagascar_pasture              | Madagascar Pasture         |  0.40 | MEDIUM   | 0.70 | false | false   | WARM       | HOT, JUNGLE, LUSH, PLAINS, RARE, WET            | spawn, stronghold          |
| 178 | wildnature:madagascar_rainforest           | Madagascar Rainforest      |  0.90 | MEDIUM   | 0.80 | false | false   | WARM       | DENSE, FOREST, HOT, JUNGLE, LUSH, RARE, WET     | spawn, stronghold          |
+-----+--------------------------------------------+----------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------+----------------------------+
|  ID | Registry name                              | Biome name                 | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                            | Valid for                  |
+-----+--------------------------------------------+----------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------+----------------------------+
