+-------------------------------------------------------------+------+------+---------------------------------+----------+
| NOTE: The Block ID is for very specific low-level purposes only!                                                       |
| It WILL be different in every world since Minecraft 1.7,                                                               |
| because they are dynamically allocated by the game!                                                                    |
+-------------------------------------------------------------+------+------+---------------------------------+----------+
| Registry name                                               |   ID | meta | Display name                    |    Count |
| undergroundbiomes:sedimentary_gravel                        | 3668 |    4 | Limestone Gravel                |      377 |
| undergroundbiomes:sedimentary_sand                          | 3671 |    0 | Limestone Sand                  |       61 |
| undergroundbiomes:sedimentary_sand                          | 3671 |    1 | Chalk Sand                      |       10 |
| undergroundbiomes:sedimentary_sand                          | 3671 |    3 | Siltstone Sand                  |       23 |
| undergroundbiomes:sedimentary_speleothem                    | 3674 |    0 | Limestone Speleothem            |       33 |
| undergroundbiomes:sedimentary_speleothem                    | 3674 |    0 | Limestone Speleothem            |       49 |
| undergroundbiomes:sedimentary_speleothem                    | 3674 |    0 | Limestone Speleothem            |       55 |
| undergroundbiomes:sedimentary_speleothem                    | 3674 |    1 | Chalk Speleothem                |        2 |
| undergroundbiomes:sedimentary_speleothem                    | 3674 |    1 | Chalk Speleothem                |        2 |
| undergroundbiomes:sedimentary_speleothem                    | 3674 |    1 | Chalk Speleothem                |        2 |
| undergroundbiomes:sedimentary_speleothem                    | 3674 |    3 | Siltstone Speleothem            |       16 |
| undergroundbiomes:sedimentary_speleothem                    | 3674 |    3 | Siltstone Speleothem            |       29 |
| undergroundbiomes:sedimentary_speleothem                    | 3674 |    3 | Siltstone Speleothem            |       33 |
| undergroundbiomes:sedimentary_speleothem                    | 3674 |    4 | Limestone Speleothem            |       10 |
| undergroundbiomes:sedimentary_speleothem                    | 3674 |    4 | Limestone Speleothem            |       16 |
| undergroundbiomes:sedimentary_speleothem                    | 3674 |    4 | Limestone Speleothem            |       30 |
| undergroundbiomes:sedimentary_stone                         | 3661 |    0 | Limestone                       |   152190 |
| undergroundbiomes:sedimentary_stone                         | 3661 |    1 | Chalk                           |    66418 |
| undergroundbiomes:sedimentary_stone                         | 3661 |    2 | Shale                           |   156054 |
| undergroundbiomes:sedimentary_stone                         | 3661 |    3 | Siltstone                       |   376728 |
| undergroundbiomes:sedimentary_stone                         | 3661 |    4 | Limestone                       |   162502 |
| undergroundbiomes:sedimentary_stone                         | 3661 |    5 | Dolomite                        |     9489 |
| undergroundbiomes:sedimentary_stone                         | 3661 |    6 | Greywacke                       |    13645 |
| undergroundbiomes:sedimentary_stone                         | 3661 |    7 | Chert                           |      151 |
| undergroundbiomes:sedimentary_stone_coal_ore                | 3765 |    0 | Limestone Coal Ore              |       99 |
| undergroundbiomes:sedimentary_stone_coal_ore                | 3765 |    1 | Limestone Coal Ore              |       89 |
| undergroundbiomes:sedimentary_stone_coal_ore                | 3765 |    2 | Limestone Coal Ore              |      192 |
| undergroundbiomes:sedimentary_stone_coal_ore                | 3765 |    3 | Limestone Coal Ore              |      930 |
| undergroundbiomes:sedimentary_stone_coal_ore                | 3765 |    4 | Limestone Coal Ore              |      430 |
| undergroundbiomes:sedimentary_stone_coal_ore                | 3765 |    5 | Limestone Coal Ore              |       10 |
| undergroundbiomes:sedimentary_stone_gold_ore                | 3762 |    2 | Limestone Gold Ore              |        8 |
| undergroundbiomes:sedimentary_stone_gold_ore                | 3762 |    3 | Limestone Gold Ore              |       12 |
| undergroundbiomes:sedimentary_stone_gold_ore                | 3762 |    4 | Limestone Gold Ore              |       13 |
| undergroundbiomes:sedimentary_stone_iron_ore                | 3771 |    0 | Limestone Iron Ore              |       84 |
| undergroundbiomes:sedimentary_stone_iron_ore                | 3771 |    1 | Limestone Iron Ore              |       43 |
| undergroundbiomes:sedimentary_stone_iron_ore                | 3771 |    2 | Limestone Iron Ore              |      103 |
| undergroundbiomes:sedimentary_stone_iron_ore                | 3771 |    3 | Limestone Iron Ore              |      451 |
| undergroundbiomes:sedimentary_stone_iron_ore                | 3771 |    4 | Limestone Iron Ore              |      255 |
| undergroundbiomes:sedimentary_stone_iron_ore                | 3771 |    5 | Limestone Iron Ore              |       11 |
| undergroundbiomes:sedimentary_stone_lapis_ore               | 3783 |    2 | Lignite Block Lapis Lazuli Ore  |        2 |
| undergroundbiomes:sedimentary_stone_lapis_ore               | 3783 |    4 | Lignite Block Lapis Lazuli Ore  |       10 |
| undergroundbiomes:sedimentary_stone_mossy                   | 3665 |    0 | Mossy Limestone                 |        8 |
| undergroundbiomes:sedimentary_stone_mossy                   | 3665 |    2 | Mossy Shale                     |       34 |
| undergroundbiomes:sedimentary_stone_mossy                   | 3665 |    3 | Mossy Siltstone                 |       47 |
| undergroundbiomes:sedimentary_stone_mossy                   | 3665 |    4 | Mossy Limestone                 |        2 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_amber    | 3780 |    0 | Limestone Amber Bearing Stone   |      250 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_amber    | 3780 |    1 | Limestone Amber Bearing Stone   |      187 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_amber    | 3780 |    2 | Limestone Amber Bearing Stone   |      227 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_amber    | 3780 |    3 | Limestone Amber Bearing Stone   |      483 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_amber    | 3780 |    4 | Limestone Amber Bearing Stone   |       37 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_amber    | 3780 |    5 | Limestone Amber Bearing Stone   |       43 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_amber    | 3780 |    6 | Limestone Amber Bearing Stone   |       41 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_amber    | 3780 |    7 | Limestone Amber Bearing Stone   |        1 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_cinnabar | 3768 |    0 | Limestone Cinnabar Ore          |      147 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_cinnabar | 3768 |    1 | Limestone Cinnabar Ore          |       74 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_cinnabar | 3768 |    2 | Limestone Cinnabar Ore          |      248 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_cinnabar | 3768 |    3 | Limestone Cinnabar Ore          |      616 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_cinnabar | 3768 |    4 | Limestone Cinnabar Ore          |      239 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_cinnabar | 3768 |    5 | Limestone Cinnabar Ore          |        2 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_quartz   | 3756 |    0 | Limestone Quartz Ore            |      161 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_quartz   | 3756 |    1 | Limestone Quartz Ore            |       86 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_quartz   | 3756 |    2 | Limestone Quartz Ore            |      233 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_quartz   | 3756 |    3 | Limestone Quartz Ore            |      473 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_quartz   | 3756 |    4 | Limestone Quartz Ore            |      185 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_quartz   | 3756 |    5 | Limestone Quartz Ore            |        9 |
| undergroundbiomes:sedimentary_stone_thaumcraft_ore_quartz   | 3756 |    6 | Limestone Quartz Ore            |        3 |
+-------------------------------------------------------------+------+------+---------------------------------+----------+
| Registry name                                               |   ID | meta | Display name                    |    Count |
+-------------------------------------------------------------+------+------+---------------------------------+----------+
